path	sentence
clips\01928.mp3	外面的親朋好友都聽到了
clips\01929.mp3	真是丟臉死了
clips\01930.mp3	現在用熱烈掌聲
clips\01931.mp3	溪水、雙車
clips\01932.mp3	應該出去宴客才對
clips\01933.mp3	丟臉死了我還敢下去
clips\01934.mp3	出去哪裡，丟臉啦
clips\01935.mp3	親家，你們後門在哪裡
clips\01936.mp3	阿彌陀佛，你們真是
clips\01937.mp3	最後有沒有收聘金
clips\01938.mp3	有沒有收聘金
clips\01939.mp3	怎麼連這個聾子都在問
clips\01940.mp3	我到巷尾請小叔公
clips\01941.mp3	怎麼知道你們在裡面吵架
clips\01942.mp3	你們真的比阿坤伯還重聽
clips\01943.mp3	訂個婚彷彿世界大戰
clips\01944.mp3	出爾反爾，花樣真多
clips\01945.mp3	妳說怎麼辦我就怎麼辦
clips\01946.mp3	好，不結了
clips\01947.mp3	妳爸會修理我
clips\01948.mp3	妳回去幫我勸妳爸，好嗎
clips\01949.mp3	妳哥這樁婚事真刺激
clips\01950.mp3	芳姿，妳別捉弄惠如
clips\01951.mp3	妳沒看到她已經很擔心了
clips\01952.mp3	是個人造業個人擔
clips\01953.mp3	所以夫妻互相欠債
clips\01954.mp3	一個欠嫁妝
clips\01955.mp3	我這個壞朋友警告你哦
clips\01956.mp3	最好別讓我們好姐妹受委屈
clips\01957.mp3	妳出門都帶保鑣啊
clips\01958.mp3	否則怎麼跟你家結親家
clips\01959.mp3	今天會場真是亂七八糟
clips\01960.mp3	枉費我親自出馬掌廚
clips\01961.mp3	如果今天訂婚可以順利圓滿
clips\01962.mp3	就告訴妳爸我們的事
clips\01963.mp3	現在還說得出口嗎
clips\01964.mp3	說不出口就別說了
clips\01965.mp3	惠如，我決定去台北開餐廳
clips\01966.mp3	媽媽也支持我的想法
clips\01967.mp3	現在只差一步
clips\01968.mp3	只要勇敢踏出去
clips\01969.mp3	我的將來就海闊天空了
clips\01970.mp3	我們的幸福就會天長地久
clips\01971.mp3	留在這裡當廚師不好嗎
clips\01972.mp3	不就像妳哥和我姐姐一樣嗎
clips\01973.mp3	今天發生的場面
clips\01974.mp3	我擁抱這份緣的深淺
clips\01975.mp3	回首看見生命的不完美
clips\01976.mp3	我很清楚你的想法
clips\01977.mp3	感情需要兩個人經營
clips\01978.mp3	但結婚卻是兩個家庭的事
clips\01979.mp3	如果想長長久久，相守一生
clips\01980.mp3	要有耐心點，知道嗎
clips\01981.mp3	陪在你身邊我什麼都不缺
clips\01982.mp3	你那裡有沒有人能聊天
clips\01983.mp3	我想要愛你疼你像從前
clips\01984.mp3	想要跟你飛
clips\01985.mp3	天涯海角多遠我都不累
clips\01986.mp3	牽你的手 歲歲年年
clips\01987.mp3	快我們快去準備
clips\01988.mp3	淑惠說得沒錯
